,Priv Union Members (%),us_inf,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
730,12.0,2.8,0,0,508565.7426825
731,9.3,3.0,0,0,5447.100547249999
732,9.1,2.7,0,0,303897.35895996244
733,7.2,2.4,0,1,204.71189439069997
734,8.2,2.3,0,1,-508.82028009125
735,9.9,2.1,0,0,5654293.9979725
736,8.2,2.4,0,0,4903.7635463179695
737,7.3,2.6,0,0,-482.7823022872287
738,7.2,2.4,1,0,367.20150770491796
739,7.7,1.4,0,0,-509.0263341840476
740,5.5,1.8,0,0,152213.3704325
741,5.7,2.2,0,0,-507.37790144166667
742,5.5,2.5,0,0,0.0
743,6.0,2.3,0,0,2035790.1951825
744,5.9,2.3,0,0,-356.35237225
745,6.5,1.7,0,0,296.9603102083333
746,5.6,1.0,0,0,-508.8068833855263
747,5.4,1.7,0,0,1527676.6026591
748,5.8,2.1,0,0,-508.8068833855263
749,6.4,1.8,0,0,559041.7294138641
750,5.7,1.7,0,1,0.0
751,6.3,1.8,0,1,13189.665726136363
752,6.4,2.2,0,0,-509.05761902643576
753,5.8,1.8,0,1,0.0
754,5.7,2.1,0,1,712195.6696825
755,5.3,2.2,0,1,145.44994785714292
756,5.6,1.7,0,0,1696.9160583333332
758,3.5,2.8,0,1,-574.3957726078784
759,2.5,3.0,0,0,307905.79130734364
760,2.6,2.7,0,0,223958.01487022726
761,2.8,2.4,0,0,325828.5230183379
762,2.8,2.3,0,1,583937.6251958678
763,1.9,2.1,1,0,0.0
764,2.4,2.4,1,0,13511747.779008728
765,2.3,2.6,0,0,-757.5561276253774
766,2.1,2.4,1,0,1429361.4125516312
767,2.1,1.4,0,0,-111.70821775
768,1.6,1.8,0,0,-223.34661786390623
769,1.8,2.2,0,0,0.0
770,1.8,2.5,1,0,1434694.2113098002
771,2.0,2.3,0,1,-138.75185796032883
772,2.0,2.3,0,0,0.0
773,1.5,1.7,0,1,0.0
774,1.8,1.0,0,1,0.0
775,1.6,1.7,0,0,0.0
776,1.8,2.1,0,0,0.0
777,1.6,1.8,0,0,224118.27121789998
778,1.2,1.7,0,0,5553396.839034578
779,1.8,1.8,0,0,491027.01549287926
780,1.7,2.2,0,0,0.0
781,2.3,1.8,0,0,-223.31488257477272
782,2.0,2.1,1,0,7969247.9960373
783,1.2,2.2,0,0,6500434.53457368
784,1.8,1.7,0,0,-645.7077644954858
814,6.6,2.8,0,0,1930762.2671415445
815,5.0,3.0,0,0,154.43364522771685
816,5.1,2.7,1,0,-502.68670501598984
