,Priv Union Members (%),state_inf,prop_rep,change_prop_not_on_strike_indicator,Wage_Increase_Indicator,instrument_calc
585,4.9,7.246843999110553,35.5309676502034,0,0,-274.057997297816
618,18.3,14.551805966889564,51.01719105156916,1,0,2578559.764104528
619,18.4,10.746545534290552,51.01719105156916,0,0,-344.4257052318075
620,18.3,9.933073576111928,45.37652649620888,0,0,294081.91143754957
621,18.1,7.071450379344024,45.37652649620888,0,0,2689.9526759116975
622,16.7,5.850888003437071,48.17992431411551,1,1,1745735.9046372129
623,17.0,11.55570672781112,48.17992431411551,1,0,2457.721094221441
624,15.7,13.28707324852585,43.90981064757252,1,0,2754447.672352306
625,16.3,13.134932717862458,43.90981064757252,0,0,-1159.1734648197278
626,15.7,12.4664639272299,48.24043480523068,0,0,-787.7548680523637
627,16.6,13.968187041117908,48.24043480523068,0,0,6432673.4697473
628,15.9,12.94780167163827,49.41549175193557,0,0,25160.063018963527
629,14.4,14.719968258114392,49.41549175193557,0,0,219278.60274847335
630,13.7,13.618469401584466,44.56048196233792,1,0,3299516.927013097
631,13.9,2.3626127897959037,44.56048196233792,0,1,1149058.6387198207
632,13.1,9.092426590312485,43.94989076411076,1,1,-94.48629981061777
633,12.2,7.716667149771861,43.94989076411076,0,1,-975.3641366259345
634,11.1,11.274213585533133,52.32421912290866,0,0,67980.43847400001
635,11.9,12.487913422686914,52.32421912290866,0,0,1212504.0540240998
636,11.3,8.516068286019518,45.61687147731227,0,0,-554.6663091577565
637,11.0,4.5818166882080735,45.61687147731227,0,0,-595.0820649545954
638,9.9,11.373092554136853,47.47564069905683,0,1,88.735233425
639,11.1,4.886458179563502,47.47564069905683,1,0,4489964.144233047
640,10.1,2.790257945773811,48.029279122568326,0,1,8943386.97111442
641,11.3,2.9829515920770877,48.029279122568326,0,1,-665.403514807768
646,12.5,4.490184552725407,48.44184776236355,0,0,1729223.6888247
647,12.2,7.059868859801965,48.44184776236355,1,0,193.76948079152544
648,12.9,10.019332215938025,41.79438225755832,0,0,736095.9053621863
649,13.5,12.032696860783322,41.79438225755832,0,0,-664.8368399004
650,11.6,6.66937642355272,42.310783029834724,1,1,1685353.5932901
651,12.8,11.88490686877457,42.310783029834724,1,0,-957.9460441126935
652,12.3,13.399818226929394,42.025427522001166,1,0,2179968.3019297
653,11.5,16.39019152246759,42.025427522001166,0,0,-417.3755921695122
654,10.8,5.848250934010313,46.76572624564074,0,0,-292.9552337716875
655,10.1,9.80830451553003,46.76572624564074,0,0,0.0
656,11.1,11.812431070294526,45.41656424834505,1,0,17295.1682727
657,9.7,14.839144902061218,45.41656424834505,1,0,-288.252804545
658,9.7,15.645880494351715,42.43446686376249,1,1,8383969.3307554005
659,9.6,13.297035524618451,42.43446686376249,1,0,-665.3943913297936
660,9.4,18.75700653416521,38.14349746343949,0,0,0.0
661,8.5,3.5330592860885357,38.14349746343949,0,0,0.0
662,8.4,7.02143283279657,46.43136440839699,0,0,71368.565645
663,7.8,11.40686492972145,46.43136440839699,0,0,775812.2995252333
664,7.7,7.642815390459967,43.02325705387429,0,0,-238.59537865800002
665,8.4,6.600812625946428,43.02325705387429,1,0,-595.4322307091538
666,8.0,4.903861252593655,46.52512631529091,0,1,0.0
667,8.0,-8.19016910190994,46.52512631529091,0,1,45112.571595
668,8.3,8.648134757097537,46.66075138731131,1,0,-237.43458734210526
669,9.2,4.547418965670769,46.66075138731131,0,1,0.0
674,13.7,13.028398244509521,47.23757422124654,0,0,2965411.7734583598
675,12.9,7.686442141456151,47.23757422124654,0,0,48.629348845557274
676,13.5,9.01517189142278,39.378612033779426,0,0,-762.9969141333177
677,13.1,7.807507557853333,39.378612033779426,1,1,-209.98001643566664
678,12.0,4.9749554770870175,47.606634875139704,0,1,1026643.7460606999
679,13.1,6.957174518721843,47.606634875139704,0,0,58.84463552335714
680,12.1,13.966966013481574,48.83179378344028,1,0,33798283.34551078
681,11.7,10.852523739522413,48.83179378344028,0,0,-1267.5734072679882
682,11.1,8.142452575489468,53.18972163341628,0,0,-469.9337524789943
683,10.8,10.534436767215016,53.18972163341628,0,0,1891.0808685
684,10.9,9.872546738935428,53.60909898414824,1,0,15290.44831245
685,9.8,8.950387994311582,53.60909898414824,0,0,6011706.986056745
686,9.4,9.241908819921306,50.03266069778508,0,0,251.32797281383745
687,8.7,8.764681105384732,50.03266069778508,0,1,-439.6019921257682
688,9.3,11.139328164645978,46.5364326007165,1,1,7810678.142469756
